,Index,Argument
0,0,
1,1, 1 U.S. 406 (Dall.)
2,2,"Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 This was an action of debt brought upon a bond bearing date the 24th of April, 1779, and conditioned for the payment of L 500. lawful money of Pennsylvania."
3,3,"On the trial of the cause, Sergeant, in order to prove payment to the Treasurer agreeably to the tender law, offered to read the following certificate to the Jury: 'Received 29th March, 1780, of Mr. George Hocker, the sum of L 373.6."
4,4,"6. being two thirds of a bond and interest due to Mr. F. Johnson of Germantown, which he refused to receive when legally tendered to him in presence of Balzer Hidrecks and Conrad Reedheiffer; the other one third he left in my hands to be given to such poor and distressed persons as I shall think proper objects of charity."
5,5,"Lewis, for the Plaintiff, objected to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
6,6,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
7,7,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
8,8,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
9,9,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
10,10,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
11,11,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
12,12,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
13,13,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
14,14,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
15,15,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
16,16,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
17,17,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
18,18,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
19,19,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  On the trial of the cause, Sergeant, in order to prove payment to the Treasurer agreeably to the tender law, offered to read the following certificate to the Jury: 'Received 29th March, 1780, of Mr. George Hocker, the sum of L 373.6."
20,20,"6. being two thirds of a bond and interest due to Mr. F. Johnson of Germantown, which he refused to receive when legally tendered to him in presence of Balzer Hidrecks and Conrad Reedheiffer; the other one third he left in my hands to be given to such poor and distressed persons as I shall think proper objects of charity."
21,21,"Lewis, for the Plaintiff, objected to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
22,22,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
23,23,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
24,24,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
25,25,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
26,26,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
27,27,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
28,28,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
29,29,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
30,30,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
31,31,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
32,32,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
33,33,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
34,34,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
35,35,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  Lewis, for the Plaintiff, objected to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
36,36,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
37,37,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
38,38,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
39,39,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
40,40,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
41,41,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
42,42,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
43,43,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
44,44,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
45,45,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
46,46,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
47,47,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
48,48,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
49,49,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
50,50,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
51,51,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
52,52,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
53,53,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
54,54,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
55,55,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
56,56,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
57,57,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
58,58,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
59,59,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
60,60,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
61,61,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  M'Kean, Chief Justice."
62,62,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
63,63,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
64,64,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
65,65,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
66,66,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
67,67,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
68,68,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
69,69,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
70,70,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
71,71,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408]  M'Kean, Chief Justice."
72,72,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
73,73,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
74,74,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
75,75,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
76,76,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
77,77,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
78,78,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress [1 U.S. 406, 408] Â 1 U.S. 406 (Dall.)"
79,79,"Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 This was an action of debt brought upon a bond bearing date the 24th of April, 1779, and conditioned for the payment of L 500. lawful money of Pennsylvania."
80,80,"On the trial of the cause, Sergeant, in order to prove payment to the Treasurer agreeably to the tender law, offered to read the following certificate to the Jury: 'Received 29th March, 1780, of Mr. George Hocker, the sum of L 373.6."
81,81,"6. being two thirds of a bond and interest due to Mr. F. Johnson of Germantown, which he refused to receive when legally tendered to him in presence of Balzer Hidrecks and Conrad Reedheiffer; the other one third he left in my hands to be given to such poor and distressed persons as I shall think proper objects of charity."
82,82,"Lewis, for the Plaintiff, objected to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
83,83,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
84,84,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
85,85,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
86,86,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
87,87,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
88,88,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
89,89,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
90,90,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
91,91,"It appears that Weiss accordingly made several payments to Johnson; and, it has been contended by the Defendant's counsel, that, calculating these and the previous payments, the Plaintiff's demand, including the present bond, has been considerably overpaid."
92,92,"There does seem, indeed, to be a mistake in the sums; but of this the Jury must judge; for, it is in proof, that on the 24th of April, 1777, the Defendant became debtor to the Plaintiff, and gave the bond in question; so that if any deceit was used upon the occasion, we think, it is incumbent upon him to shew it to the satisfaction of the Jury."
93,93,"The Court, then, are clearly of opinion, that this bond must be considered as a new contract; but, even in that light, the Defendant insists, that it was discharged by a tender and refusal on the 29th of March, 1780."
94,94,"The tender at that time has been proved; though there is no certainty as to any previous tenders which the Defendant has endeavoured to establish: And here the great question arises, whether this is to be deemed an absolute discharge, or only to be regarded as a tender at common law?"
95,95,"The Act passed on the 29th of January, 1777, (2 State Laws 7.)"
96,96,"If, therefore, the tender, on this occasion, was made in Continental money emitted by Congress Page 1 U.S. 406, 408 before the 29th of January, 1777, it is certainly conclusive against the present demand."
97,97,"Conscientious men may, indeed, reflect upon the enormous advantage of making a payment at the rate of sixty for one; but we are bound by the explicit language of the law (except where it violates the Constitution of the State) and must leave those to answer for its policy by whom it was enacted."
98,98,"But, on the other hand, how will the case stand, if the tender was not made in bills of credit of a date antecedent to the 29th of January, 1777?"
99,99,"The arguments of the counsel have differed widely on this ground; and the question is, whether the words of the act apply only to the bills of credit which Congress had emitted; or, extend, also, to those bills which Congress might emit?"
